City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Lathrop city, California",17695,18313,18615,19120,19506,20287,21564,22221,23227,24483
"La Verne city, California",31103,31231,31349,31659,32240,32442,32350,32258,32096,31974
"Lawndale city, California",32775,32902,33019,33108,33141,33157,33033,32875,32647,32389
"Lemon Grove city, California",25380,25603,25934,26116,26404,26554,26766,26963,26885,26811
"Lemoore city, California",24537,24467,24614,24826,25010,25452,25666,26262,26470,26725
"Lincoln city, California",43099,43771,44240,45018,45727,46286,46965,47525,47862,48275
"Lindsay city, California",11772,12659,12771,12938,13107,13147,13213,13249,13448,13463
"Live Oak city, California",8465,8550,8361,8373,8383,8411,8707,8724,8723,8912
"Livermore city, California",81599,82589,83831,85448,87017,88248,89572,90137,90253,90189
"Livingston city, California",13068,13366,13416,13460,13722,13810,13916,14085,14417,14896
"Lodi city, California",62253,62741,63048,63128,63620,64264,64578,65715,67003,67586
"Loma Linda city, California",23368,23533,23632,23691,23749,23952,24091,24132,24331,24482
"Lomita city, California",20263,20364,20490,20597,20619,20659,20629,20576,20448,20320
"Lompoc city, California",42322,42188,43075,43384,43870,43916,43537,43274,42689,42853
"Long Beach city, California",462431,464512,466873,468000,469109,470128,468719,466646,465865,462628
"Loomis town, California",6435,6524,6579,6640,6687,6691,6747,6793,6819,6866
"Los Alamitos city, California",11391,11492,11560,11597,11631,11621,11587,11526,11458,11399
"Los Altos city, California",29091,29473,29813,30014,30277,30667,30728,30677,30456,30089
"Los Altos Hills town, California",8069,8148,8264,8345,8440,8468,8564,8561,8530,8423
"Los Angeles city, California",3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
"Los Banos city, California",36070,36367,36495,36608,36820,37151,37461,38933,39960,41036
"Los Gatos town, California",29792,30123,30443,30722,30976,30970,30984,30914,30599,30222
"Loyalton city, California",761,732,722,714,701,704,696,707,702,702
"Lynwood city, California",69595,69661,70576,71146,71193,71397,70979,70685,70285,69887
"McFarland city, California",12723,12784,12362,12430,13577,13941,14484,14996,15139,15506
"Madera city, California",61603,61907,62382,62749,63230,63690,64187,64941,65440,65860
"Malibu city, California",12639,12691,12750,12807,12839,12865,12853,12817,12757,11820
